generation,best_fitness,avg_fitness
0,540.375,480.52734375
1,560.25,503.76015625
2,573.25,513.56875
3,572.3125,527.20546875
4,573.75,538.23828125
5,599.625,545.25703125
6,617.0625,554.884375
7,638.75,568.73984375
8,638.6875,581.5703125
9,647.5,589.6390625
10,663.125,601.10234375
11,665.875,615.48203125
12,665.25,634.7046875
13,670.375,645.08671875
14,666.6875,651.91796875
15,667.75,655.58046875
16,667.6875,658.215625
17,669.625,653.9
18,668.4375,650.99140625
19,669.0,658.865625
20,669.0625,653.23359375
21,671.875,656.8390625
22,670.875,654.16328125
23,672.3125,658.8375
24,675.5,655.36875
25,676.25,655.921875
26,676.5625,663.6765625
27,678.5,666.31328125
28,680.8125,661.7625
29,679.3125,668.33671875
30,677.8125,664.99765625
31,678.75,666.43125
32,679.0625,669.17265625
33,678.625,666.83984375
34,680.375,666.93203125
35,679.25,666.64765625
36,681.4375,671.19453125
37,681.25,667.0984375
38,681.5,664.93046875
39,683.0,667.55546875
40,682.4375,668.65234375
41,682.25,671.953125
42,681.375,667.703125
43,683.5625,670.240625
44,684.875,669.7796875
45,681.8125,672.93671875
46,684.5625,672.0453125
47,683.375,674.915625
48,683.5,671.7359375
49,683.3125,668.6234375
50,681.875,668.9421875
51,682.9375,672.26875
52,682.25,669.08203125
53,683.9375,669.85078125
54,684.4375,668.34453125
55,683.5625,671.8671875
56,682.5625,672.69296875
57,682.875,672.0609375
58,685.375,673.65546875
59,687.375,671.4375
60,686.125,669.76796875
61,682.25,664.78203125
62,683.125,672.484375
63,682.375,664.3171875
64,683.0,674.428125
65,684.5625,671.24296875
66,683.25,670.9234375
67,681.5,671.45703125
68,681.6875,670.36796875
69,683.6875,673.4265625
70,682.3125,672.27265625
71,681.75,670.60703125
72,682.75,674.4328125
73,684.9375,670.15703125
74,682.875,669.35390625
75,681.625,670.04453125
76,682.3125,669.02109375
77,687.3125,667.1265625
78,684.5625,673.7296875
79,687.0625,669.78515625
80,689.3125,667.5875
81,686.5,669.60859375
82,689.5625,672.253125
83,688.8125,675.440625
84,688.8125,672.9921875
85,690.375,679.1515625
86,690.1875,679.60390625
87,693.0625,678.7390625
88,695.8125,680.5796875
89,696.9375,679.359375
90,695.3125,680.2546875
91,697.75,683.309375
92,695.875,674.2484375
93,694.875,683.78046875
94,697.0625,682.56328125
95,696.1875,679.8765625
96,697.6875,682.24296875
97,696.9375,682.02265625
98,699.0,686.5625
99,696.6875,684.53359375
100,696.375,688.15234375
101,695.8125,686.68515625
102,696.6875,683.921875
103,698.1875,685.66484375
104,697.5,681.303125
105,699.6875,684.02890625
106,697.3125,680.69609375
107,699.3125,677.1859375
108,697.75,675.70625
109,699.0625,675.06953125
110,697.1875,678.275
111,700.8125,680.84296875
112,700.625,677.06328125
113,699.125,681.59296875
114,699.6875,685.4484375
115,700.125,688.278125
116,700.6875,682.84296875
117,701.6875,685.72578125
118,700.0625,686.2109375
119,699.875,684.0171875
120,700.5625,690.059375
121,700.875,687.8125
122,700.625,687.84296875
123,703.5,687.88203125
124,701.75,687.1875
125,700.25,688.9609375
126,700.25,687.84453125
127,701.5625,688.57890625
128,700.5,689.29375
129,701.9375,687.82421875
130,700.375,687.19453125
131,700.9375,687.98125
132,699.625,681.5734375
133,701.125,685.321875
134,701.1875,684.9265625
135,699.9375,683.04921875
136,699.1875,686.021875
137,699.6875,688.34296875
138,700.3125,687.87421875
139,701.6875,683.5578125
140,701.0625,686.8953125
141,702.3125,690.76171875
142,700.5625,685.134375
143,701.0625,688.175
144,701.3125,693.471875
145,702.1875,684.36640625
146,700.625,687.59765625
147,701.5,690.34921875
148,700.4375,687.61328125
149,701.9375,681.8546875
150,700.75,688.70234375
151,700.25,682.996875
152,700.75,686.21953125
153,703.625,685.41328125
154,699.6875,685.91015625
155,701.9375,689.540625
156,700.5,691.25390625
157,701.4375,689.0484375
158,700.25,687.25234375
159,703.125,686.471875
160,700.4375,687.45859375
161,700.4375,687.64609375
162,701.5,682.14921875
163,700.25,690.25859375
164,701.4375,687.39140625
165,701.0625,689.95390625
166,703.5,686.79140625
167,699.5,685.20703125
168,700.375,688.6296875
169,701.125,689.60625
170,700.125,685.21796875
171,700.875,682.37578125
172,704.125,684.02734375
173,702.0625,688.109375
174,701.1875,684.91484375
175,700.25,685.725
176,699.1875,687.63125
177,700.5625,688.55703125
178,701.5625,685.61484375
179,700.375,689.46328125
180,700.0,689.0375
181,700.25,689.25
182,701.6875,686.4359375
183,705.1875,689.04375
184,702.125,691.53359375
185,699.375,685.8046875
186,702.0,685.2515625
187,701.0625,681.8703125
188,703.0625,685.40234375
189,701.375,685.284375
190,701.875,686.58984375
191,701.0625,687.85546875
192,700.8125,688.88671875
193,699.5,686.33125
194,701.625,687.79921875
195,700.9375,689.034375
196,700.4375,692.5515625
197,703.25,688.471875
198,699.4375,686.69453125
199,701.375,687.396875
