generation,best_fitness,avg_fitness
0,540.375,480.52734375
1,560.25,503.73984375
2,568.6875,514.81015625
3,571.125,530.11015625
4,598.25,539.24296875
5,596.6875,544.5234375
6,598.625,557.45546875
7,623.75,565.5734375
8,623.3125,576.1578125
9,629.5,583.3015625
10,634.0625,586.43828125
11,632.1875,603.63203125
12,651.6875,613.40703125
13,675.9375,626.41640625
14,687.1875,635.21171875
15,690.5,645.54609375
16,688.875,659.921875
17,689.6875,670.86015625
18,691.5625,682.96328125
19,692.0625,684.45859375
20,690.875,682.659375
21,693.4375,686.70859375
22,695.625,686.03515625
23,694.625,684.6375
24,697.5625,687.61171875
25,697.375,689.9859375
26,701.375,689.38125
27,698.125,693.015625
28,698.8125,691.8828125
29,700.0625,693.15625
30,700.0,693.21640625
31,698.1875,693.25234375
32,698.75,693.13828125
33,698.5625,692.2
34,699.5,693.31328125
35,699.4375,693.3421875
36,699.6875,694.48671875
37,702.125,693.7015625
38,703.0,694.671875
39,700.8125,694.3640625
40,700.375,694.09453125
41,700.1875,695.03984375
42,700.125,692.640625
43,701.9375,695.590625
44,701.5625,696.50078125
45,700.3125,694.71796875
46,701.3125,694.91484375
47,701.6875,696.66953125
48,703.3125,694.40234375
49,703.8125,696.58984375
50,704.0,696.84609375
51,705.125,697.6265625
52,703.4375,695.3796875
53,705.6875,700.0203125
54,705.625,699.5359375
55,705.25,699.75234375
56,705.5,698.84296875
57,704.375,699.5421875
58,706.625,699.215625
59,706.9375,698.77578125
60,707.375,699.6765625
61,706.3125,698.18828125
62,706.3125,700.725
63,705.25,696.05078125
64,705.1875,699.903125
65,706.1875,700.28515625
66,706.0625,699.61875
67,705.0,698.42265625
68,704.0,697.69453125
69,706.1875,699.68828125
70,704.8125,699.6203125
71,704.8125,697.24921875
72,705.4375,697.38515625
73,705.0625,699.978125
74,706.125,698.05234375
75,704.6875,697.5578125
76,705.0625,699.09375
77,705.75,697.57109375
78,705.8125,698.23828125
79,704.6875,698.42578125
80,705.1875,699.43671875
81,705.8125,698.71484375
82,706.375,698.02578125
83,704.625,700.58515625
84,706.0625,698.646875
85,705.25,700.09765625
86,705.3125,698.19296875
87,705.25,699.54765625
88,705.625,698.33125
89,705.3125,700.51953125
90,704.0,698.26484375
91,706.75,699.26640625
92,704.6875,697.68671875
93,703.625,698.88984375
94,705.0625,698.75078125
95,705.875,699.028125
96,705.9375,700.1390625
97,704.875,697.36875
98,706.875,698.36953125
99,706.3125,699.8125
100,704.3125,699.41953125
101,704.625,699.3703125
102,705.375,697.82890625
103,705.3125,697.94453125
104,705.0625,699.8109375
105,706.5,698.80078125
106,706.5625,698.85546875
107,706.0625,698.4046875
108,706.125,697.859375
109,706.625,699.98671875
110,705.5625,697.83671875
111,705.0,699.43359375
112,704.3125,700.29375
113,704.5,697.84453125
114,703.375,698.30078125
115,704.5625,698.22578125
116,705.5625,697.090625
117,706.0,699.80859375
118,705.1875,698.175
119,704.5625,696.91484375
120,705.375,699.13515625
121,705.9375,699.74140625
122,706.125,699.42421875
123,708.8125,700.24453125
124,706.5625,699.946875
125,706.1875,697.94921875
126,705.6875,700.94609375
127,705.875,700.4546875
128,705.0625,698.1453125
129,705.375,700.709375
130,705.75,700.18515625
131,707.1875,700.365625
132,705.375,698.33125
133,704.875,700.6453125
134,706.125,700.72421875
135,705.5,699.42734375
136,704.5625,699.46328125
137,706.25,698.24765625
138,705.0,700.0515625
139,707.5,699.43359375
140,706.75,699.828125
141,707.0,699.74453125
142,706.5,700.28125
143,705.6875,700.09921875
144,707.0,700.68046875
145,706.8125,698.9265625
146,705.5,699.2578125
147,706.3125,700.53046875
148,706.5,699.47265625
149,705.5,697.1484375
150,706.375,701.07890625
151,706.0,698.75
152,705.9375,698.8046875
153,708.125,700.26484375
154,705.1875,701.0109375
155,706.9375,701.0828125
156,705.875,700.91171875
157,707.75,701.3390625
158,707.6875,701.01796875
159,706.8125,701.24453125
160,707.0,700.98046875
161,705.4375,698.96640625
162,707.6875,697.375
163,705.4375,699.35
164,705.375,700.3359375
165,706.75,699.4625
166,708.0,700.89140625
167,705.6875,698.9328125
168,705.9375,698.4515625
169,706.75,700.234375
170,706.125,701.1015625
171,706.875,699.79921875
172,708.5625,699.15078125
173,707.0625,701.18984375
174,705.8125,700.74296875
175,706.8125,701.6390625
176,705.6875,698.89609375
177,705.5625,700.2953125
178,706.8125,700.50390625
179,705.9375,699.89921875
180,704.9375,699.32734375
181,704.9375,699.3484375
182,706.6875,699.3109375
183,708.3125,700.86328125
184,706.25,700.48046875
185,705.3125,700.09296875
186,706.625,700.00625
187,705.9375,700.075
188,708.4375,699.23828125
189,707.3125,701.0328125
190,708.25,701.18046875
191,707.25,700.20078125
192,706.1875,700.34296875
193,706.1875,700.49765625
194,705.4375,698.48046875
195,704.6875,700.96171875
196,705.625,699.92265625
197,707.9375,700.68046875
198,705.3125,698.08515625
199,706.1875,699.4828125
